date,name
1985-01-01,New Year's Day
1985-04-05,Good Friday
1985-05-20,Victoria Day
1985-07-01,Canada Day
1985-08-05,Civic Holiday
1985-09-02,Labour Day
1985-10-14,Thanksgiving (CA)
1985-11-11,Remembrance Day
1985-12-25,Christmas Day
1985-12-26,Boxing Day
1986-01-01,New Year's Day
1986-03-28,Good Friday
1986-05-19,Victoria Day
1986-07-01,Canada Day
1986-08-04,Civic Holiday
1986-09-01,Labour Day
1986-10-13,Thanksgiving (CA)
1986-11-11,Remembrance Day
1986-12-25,Christmas Day
1986-12-26,Boxing Day
1987-01-01,New Year's Day
1987-04-17,Good Friday
1987-05-18,Victoria Day
1987-07-01,Canada Day
1987-08-03,Civic Holiday
1987-09-07,Labour Day
1987-10-12,Thanksgiving (CA)
1987-11-11,Remembrance Day
1987-12-25,Christmas Day
1987-12-28,Boxing Day (obs)
1988-01-01,New Year's Day
1988-04-01,Good Friday
1988-05-23,Victoria Day
1988-07-01,Canada Day
1988-08-01,Civic Holiday
1988-09-05,Labour Day
1988-10-10,Thanksgiving (CA)
1988-11-11,Remembrance Day
1988-12-26,Christmas Day (obs)
1988-12-27,Boxing Day (obs)
1989-01-02,New Year's Day
1989-03-24,Good Friday
1989-05-22,Victoria Day
1989-07-03,Canada Day
1989-08-07,Civic Holiday
1989-09-04,Labour Day
1989-10-09,Thanksgiving (CA)
1989-11-13,Remembrance Day
1989-12-25,Christmas Day
1989-12-26,Boxing Day
1990-01-01,New Year's Day
1990-04-13,Good Friday
1990-05-21,Victoria Day
1990-07-02,Canada Day
1990-08-06,Civic Holiday
1990-09-03,Labour Day
1990-10-08,Thanksgiving (CA)
1990-11-12,Remembrance Day
1990-12-25,Christmas Day
1990-12-26,Boxing Day
1991-01-01,New Year's Day
1991-03-29,Good Friday
1991-05-20,Victoria Day
1991-07-01,Canada Day
1991-08-05,Civic Holiday
1991-09-02,Labour Day
1991-10-14,Thanksgiving (CA)
1991-11-11,Remembrance Day
1991-12-25,Christmas Day
1991-12-26,Boxing Day
1992-01-01,New Year's Day
1992-04-17,Good Friday
1992-05-18,Victoria Day
1992-07-01,Canada Day
1992-08-03,Civic Holiday
1992-09-07,Labour Day
1992-10-12,Thanksgiving (CA)
1992-11-11,Remembrance Day
1992-12-25,Christmas Day
1992-12-28,Boxing Day (obs)
1993-01-01,New Year's Day
1993-04-09,Good Friday
