date,bank,ccy,note
2026-01-23,BOJ,JPY,MPM day 2 (official boj.or.jp)
2026-01-28,FED,USD,FOMC decision (Fed calendar)
2026-01-28,BOC,CAD,rate announcement 09:45 ET (official 2025-08-06 release)
2026-02-03,RBA,AUD,board day 2 (SECONDARY source - verify on rba.gov.au)
2026-02-05,BOE,GBP,MPC announcement (official confirmed)
2026-02-05,ECB,EUR,GovC day 2 (INFERRED from 8-meeting pattern - past date)
2026-03-17,RBA,AUD,board day 2 (SECONDARY source - verify on rba.gov.au)
2026-03-18,FED,USD,FOMC decision (Fed calendar)
2026-03-18,BOC,CAD,rate announcement 09:45 ET (official)
2026-03-19,BOE,GBP,MPC announcement (official confirmed)
2026-03-19,BOJ,JPY,MPM day 2 (official)
2026-03-19,ECB,EUR,GovC day 2 (press reports; consistent with official Jul+ calendar)
2026-04-28,BOJ,JPY,MPM day 2 + Outlook Report (official)
2026-04-29,FED,USD,FOMC decision (Fed calendar)
2026-04-29,BOC,CAD,rate announcement + MPR (official)
2026-04-30,BOE,GBP,MPC announcement + MPR (official confirmed)
2026-04-30,ECB,EUR,GovC day 2 (press reports)
2026-05-05,RBA,AUD,board day 2 (SECONDARY source)
2026-06-10,BOC,CAD,rate announcement (official)
2026-06-11,ECB,EUR,GovC day 2 (press reports)
2026-06-16,BOJ,JPY,MPM day 2 (official)
2026-06-16,RBA,AUD,board day 2 (SECONDARY source)
2026-06-17,FED,USD,FOMC decision (Fed calendar)
2026-06-18,BOE,GBP,MPC announcement (official confirmed)
2026-07-15,BOC,CAD,rate announcement + MPR (official)
2026-07-23,ECB,EUR,GovC day 2 (OFFICIAL ecb.europa.eu calendar)
2026-07-29,FED,USD,FOMC decision (Fed calendar)
2026-07-30,BOE,GBP,MPC announcement + MPR (official confirmed)
2026-07-31,BOJ,JPY,MPM day 2 + Outlook Report (official)
2026-08-11,RBA,AUD,board day 2 (SECONDARY source)
2026-09-02,BOC,CAD,rate announcement (official)
2026-09-10,ECB,EUR,GovC day 2 hosted by Bundesbank (OFFICIAL)
2026-09-16,FED,USD,FOMC decision (Fed calendar)
2026-09-17,BOE,GBP,MPC announcement (official confirmed)
2026-09-18,BOJ,JPY,MPM day 2 (official)
2026-09-29,RBA,AUD,board day 2 (SECONDARY source)
2026-10-28,FED,USD,FOMC decision (Fed calendar)
2026-10-28,BOC,CAD,rate announcement + MPR (official)
2026-10-29,ECB,EUR,GovC day 2 (OFFICIAL)
2026-10-30,BOJ,JPY,MPM day 2 + Outlook Report (official)
2026-11-03,RBA,AUD,board day 2 (SECONDARY source)
2026-11-05,BOE,GBP,MPC announcement + MPR (official confirmed)
2026-12-08,RBA,AUD,board day 2 (SECONDARY source)
2026-12-09,FED,USD,FOMC decision (Fed calendar)
2026-12-09,BOC,CAD,rate announcement (official)
2026-12-17,BOE,GBP,MPC announcement (official confirmed)
2026-12-17,ECB,EUR,GovC day 2 (OFFICIAL)
2026-12-18,BOJ,JPY,MPM day 2 (official)
2027-01-27,FED,USD,FOMC decision (Fed calendar)
2027-02-04,BOE,GBP,MPC announcement + MPR (official PROVISIONAL)
2027-02-04,ECB,EUR,GovC day 2 (OFFICIAL)
2027-03-17,FED,USD,FOMC decision (Fed calendar)
2027-03-18,BOE,GBP,MPC announcement (official PROVISIONAL)
2027-03-18,ECB,EUR,GovC day 2 (OFFICIAL)
2027-04-28,FED,USD,FOMC decision (Fed calendar)
2027-04-29,BOE,GBP,MPC announcement + MPR (official PROVISIONAL)
2027-04-29,ECB,EUR,GovC day 2 (OFFICIAL)
2027-06-09,FED,USD,FOMC decision (Fed calendar)
2027-06-10,ECB,EUR,GovC day 2 (OFFICIAL)
2027-06-17,BOE,GBP,MPC announcement (official PROVISIONAL)
2027-07-22,ECB,EUR,GovC day 2 (OFFICIAL)
2027-07-28,FED,USD,FOMC decision (Fed calendar)
2027-07-29,BOE,GBP,MPC announcement + MPR (official PROVISIONAL)
2027-09-09,ECB,EUR,GovC day 2 (OFFICIAL)
2027-09-15,FED,USD,FOMC decision (Fed calendar)
2027-09-16,BOE,GBP,MPC announcement (official PROVISIONAL)
2027-10-27,FED,USD,FOMC decision (Fed calendar)
2027-10-28,ECB,EUR,GovC day 2 (OFFICIAL)
2027-11-04,BOE,GBP,MPC announcement + MPR (official PROVISIONAL)
2027-12-08,FED,USD,FOMC decision (Fed calendar)
2027-12-16,BOE,GBP,MPC announcement (official PROVISIONAL)
2027-12-16,ECB,EUR,GovC day 2 (OFFICIAL)
