date,name
1991-01-01,XSHG Holiday
1991-02-15,XSHG Holiday
1991-02-18,XSHG Holiday
1991-05-01,XSHG Holiday
1991-10-01,XSHG Holiday
1991-10-02,XSHG Holiday
1992-01-01,XSHG Holiday
1992-02-04,XSHG Holiday
1992-02-05,XSHG Holiday
1992-02-06,XSHG Holiday
1992-05-01,XSHG Holiday
1992-10-01,XSHG Holiday
1992-10-02,XSHG Holiday
1993-01-01,XSHG Holiday
1993-01-25,XSHG Holiday
1993-01-26,XSHG Holiday
1993-10-01,XSHG Holiday
1994-02-07,XSHG Holiday
1994-02-08,XSHG Holiday
1994-02-09,XSHG Holiday
1994-02-10,XSHG Holiday
1994-02-11,XSHG Holiday
1994-05-02,XSHG Holiday
1994-10-03,XSHG Holiday
1994-10-04,XSHG Holiday
1995-01-02,XSHG Holiday
1995-01-30,XSHG Holiday
1995-01-31,XSHG Holiday
1995-02-01,XSHG Holiday
1995-02-02,XSHG Holiday
1995-02-03,XSHG Holiday
1995-05-01,XSHG Holiday
1995-10-02,XSHG Holiday
1995-10-03,XSHG Holiday
1996-01-01,XSHG Holiday
1996-02-19,XSHG Holiday
1996-02-20,XSHG Holiday
1996-02-21,XSHG Holiday
1996-02-22,XSHG Holiday
1996-02-23,XSHG Holiday
1996-02-26,XSHG Holiday
1996-02-27,XSHG Holiday
1996-02-28,XSHG Holiday
1996-02-29,XSHG Holiday
1996-03-01,XSHG Holiday
1996-05-01,XSHG Holiday
1996-09-30,XSHG Holiday
1996-10-01,XSHG Holiday
1996-10-02,XSHG Holiday
1997-01-01,XSHG Holiday
1997-02-03,XSHG Holiday
1997-02-04,XSHG Holiday
1997-02-05,XSHG Holiday
1997-02-06,XSHG Holiday
1997-02-07,XSHG Holiday
1997-02-10,XSHG Holiday
1997-02-11,XSHG Holiday
1997-02-12,XSHG Holiday
1997-02-13,XSHG Holiday
1997-02-14,XSHG Holiday
1997-05-01,XSHG Holiday
1997-05-02,XSHG Holiday
1997-06-30,XSHG Holiday
1997-07-01,XSHG Holiday
1997-10-01,XSHG Holiday
1997-10-02,XSHG Holiday
1997-10-03,XSHG Holiday
1998-01-01,XSHG Holiday
1998-01-02,XSHG Holiday
1998-01-26,XSHG Holiday
1998-01-27,XSHG Holiday
1998-01-28,XSHG Holiday
1998-01-29,XSHG Holiday
1998-01-30,XSHG Holiday
1998-02-02,XSHG Holiday
1998-02-03,XSHG Holiday
1998-02-04,XSHG Holiday
1998-02-05,XSHG Holiday
1998-02-06,XSHG Holiday
1998-05-01,XSHG Holiday
1998-10-01,XSHG Holiday
1998-10-02,XSHG Holiday
1999-01-01,XSHG Holiday
1999-02-10,XSHG Holiday
1999-02-11,XSHG Holiday
1999-02-12,XSHG Holiday
1999-02-15,XSHG Holiday
1999-02-16,XSHG Holiday
1999-02-17,XSHG Holiday
1999-02-18,XSHG Holiday
1999-02-19,XSHG Holiday
1999-02-22,XSHG Holiday
1999-02-23,XSHG Holiday
1999-02-24,XSHG Holiday
1999-02-25,XSHG Holiday
1999-02-26,XSHG Holiday
1999-05-03,XSHG Holiday
1999-10-01,XSHG Holiday
1999-10-04,XSHG Holiday
1999-10-05,XSHG Holiday
1999-10-06,XSHG Holiday
1999-10-07,XSHG Holiday
1999-12-20,XSHG Holiday
1999-12-31,XSHG Holiday
2000-01-03,XSHG Holiday
2000-01-31,XSHG Holiday
2000-02-01,XSHG Holiday
2000-02-02,XSHG Holiday
2000-02-03,XSHG Holiday
2000-02-04,XSHG Holiday
2000-02-07,XSHG Holiday
2000-02-08,XSHG Holiday
2000-02-09,XSHG Holiday
2000-02-10,XSHG Holiday
2000-02-11,XSHG Holiday
2000-05-01,XSHG Holiday
2000-05-02,XSHG Holiday
2000-05-03,XSHG Holiday
2000-05-04,XSHG Holiday
2000-05-05,XSHG Holiday
2000-10-02,XSHG Holiday
2000-10-03,XSHG Holiday
2000-10-04,XSHG Holiday
2000-10-05,XSHG Holiday
2000-10-06,XSHG Holiday
2001-01-01,XSHG Holiday
2001-01-22,XSHG Holiday
2001-01-23,XSHG Holiday
2001-01-24,XSHG Holiday
2001-01-25,XSHG Holiday
2001-01-26,XSHG Holiday
