date,name
1997-01-01,New Year's Day
1997-01-02,New Year's Holiday (Jan 2)
1997-01-03,New Year's Holiday (Jan 3)
1997-01-15,Coming of Age Day (through 1999)
1997-02-11,National Foundation Day
1997-03-20,XTKS Holiday
1997-04-29,Greenery Day
1997-05-05,Children's Day
1997-07-21,Marine Day (through 2002)
1997-09-15,Respect for the Aged Day (through 2002)
1997-09-23,XTKS Holiday
1997-10-10,Heakth and Sports Day (through 1999)
1997-11-03,Culture Day
1997-11-24,Labor Thanksgiving Day
1997-12-23,Emperor Akihito's Birthday
1997-12-31,New Year's Holiday (Dec 31)
1998-01-01,New Year's Day
1998-01-02,New Year's Holiday (Jan 2)
1998-01-15,Coming of Age Day (through 1999)
1998-02-11,National Foundation Day
1998-04-29,Greenery Day
1998-05-04,Citizen's Holiday Golden Week
1998-05-05,Children's Day
1998-05-06,Constitution Memorial Day
1998-07-20,Marine Day (through 2002)
1998-09-15,Respect for the Aged Day (through 2002)
1998-09-23,XTKS Holiday
1998-11-03,Culture Day
1998-11-23,Labor Thanksgiving Day
1998-12-23,Emperor Akihito's Birthday
1998-12-31,New Year's Holiday (Dec 31)
1999-01-01,New Year's Day
1999-01-15,Coming of Age Day (through 1999)
1999-02-11,National Foundation Day
1999-03-22,XTKS Holiday
1999-04-29,Greenery Day
1999-05-03,Constitution Memorial Day
1999-05-04,Citizen's Holiday Golden Week
1999-05-05,Children's Day
1999-07-20,Marine Day (through 2002)
1999-09-15,Respect for the Aged Day (through 2002)
1999-09-23,XTKS Holiday
1999-10-11,Heakth and Sports Day (through 1999)
1999-11-03,Culture Day
1999-11-23,Labor Thanksgiving Day
1999-12-23,Emperor Akihito's Birthday
1999-12-31,New Year's Holiday (Dec 31)
2000-01-03,New Year's Holiday (Jan 3)
2000-01-10,Coming of Age Day (2000 onwards)
2000-02-11,National Foundation Day
2000-03-20,XTKS Holiday
2000-05-03,Constitution Memorial Day
2000-05-04,Citizen's Holiday Golden Week
2000-05-05,Children's Day
2000-07-20,Marine Day (through 2002)
2000-09-15,Respect for the Aged Day (through 2002)
2000-10-09,Health and Sports Day (2000 - 2019)
2000-11-03,Culture Day
2000-11-23,Labor Thanksgiving Day
2001-01-01,New Year's Day
2001-01-02,New Year's Holiday (Jan 2)
2001-01-03,New Year's Holiday (Jan 3)
2001-01-08,Coming of Age Day (2000 onwards)
2001-02-12,National Foundation Day
2001-03-20,XTKS Holiday
2001-04-30,Greenery Day
2001-05-03,Constitution Memorial Day
2001-05-04,Citizen's Holiday Golden Week
2001-07-20,Marine Day (through 2002)
2001-09-24,XTKS Holiday
2001-10-08,Health and Sports Day (2000 - 2019)
2001-11-23,Labor Thanksgiving Day
2001-12-24,Emperor Akihito's Birthday
2001-12-31,New Year's Holiday (Dec 31)
2002-01-01,New Year's Day
2002-01-02,New Year's Holiday (Jan 2)
2002-01-03,New Year's Holiday (Jan 3)
2002-01-14,Coming of Age Day (2000 onwards)
2002-02-11,National Foundation Day
2002-03-21,XTKS Holiday
2002-04-29,Greenery Day
2002-05-03,Constitution Memorial Day
2002-05-06,Children's Day
2002-09-16,Respect for the Aged Day (through 2002)
2002-09-23,XTKS Holiday
2002-10-14,Health and Sports Day (2000 - 2019)
2002-11-04,Culture Day
2002-12-23,Emperor Akihito's Birthday
2002-12-31,New Year's Holiday (Dec 31)
2003-01-01,New Year's Day
2003-01-02,New Year's Holiday (Jan 2)
2003-01-03,New Year's Holiday (Jan 3)
2003-01-13,Coming of Age Day (2000 onwards)
2003-02-11,National Foundation Day
2003-03-21,XTKS Holiday
2003-04-29,Greenery Day
2003-05-05,Children's Day
2003-07-21,Marine Day (2003 - 2019)
2003-09-15,Respect for the Aged Day (2003 onwards)
2003-09-23,XTKS Holiday
2003-10-13,Health and Sports Day (2000 - 2019)
2003-11-03,Culture Day
2003-11-24,Labor Thanksgiving Day
2003-12-23,Emperor Akihito's Birthday
2003-12-31,New Year's Holiday (Dec 31)
2004-01-01,New Year's Day
2004-01-02,New Year's Holiday (Jan 2)
2004-01-12,Coming of Age Day (2000 onwards)
2004-02-11,National Foundation Day
2004-04-29,Greenery Day
2004-05-03,Constitution Memorial Day
2004-05-04,Citizen's Holiday Golden Week
2004-05-05,Children's Day
2004-07-19,Marine Day (2003 - 2019)
2004-09-20,Respect for the Aged Day (2003 onwards)
2004-09-23,XTKS Holiday
2004-10-11,Health and Sports Day (2000 - 2019)
2004-11-03,Culture Day
2004-11-23,Labor Thanksgiving Day
2004-12-23,Emperor Akihito's Birthday
2004-12-31,New Year's Holiday (Dec 31)
2005-01-03,New Year's Holiday (Jan 3)
2005-01-10,Coming of Age Day (2000 onwards)
2005-02-11,National Foundation Day
2005-03-21,JPX Holiday
2005-03-21,XTKS Holiday
2005-04-29,Greenery Day
2005-05-03,Constitution Memorial Day
2005-05-04,Citizen's Holiday Golden Week
2005-05-05,Children's Day
2005-07-18,Marine Day (2003 - 2019)
2005-09-19,Respect for the Aged Day (2003 onwards)
2005-09-23,JPX Holiday
2005-09-23,XTKS Holiday
2005-10-10,Health and Sports Day (2000 - 2019)
2005-11-03,Culture Day
2005-11-23,Labor Thanksgiving Day
2005-12-23,Emperor Akihito's Birthday
2006-01-02,New Year's Holiday (Jan 2)
2006-01-03,New Year's Holiday (Jan 3)
2006-01-09,Coming of Age Day (2000 onwards)
2006-03-21,JPX Holiday
2006-03-21,XTKS Holiday
2006-05-03,Constitution Memorial Day
2006-05-04,Citizen's Holiday Golden Week
2006-05-05,Children's Day
2006-07-17,Marine Day (2003 - 2019)
2006-09-18,Respect for the Aged Day (2003 onwards)
2006-10-09,Health and Sports Day (2000 - 2019)
2006-11-03,Culture Day
2006-11-23,Labor Thanksgiving Day
2007-01-01,New Year's Day
2007-01-02,New Year's Holiday (Jan 2)
2007-01-03,New Year's Holiday (Jan 3)
2007-01-08,Coming of Age Day (2000 onwards)
2007-02-12,National Foundation Day
2007-03-21,JPX Holiday
2007-03-21,XTKS Holiday
2007-04-30,Showa Day
2007-05-03,Constitution Memorial Day
2007-05-04,Greenery Day
2007-07-16,Marine Day (2003 - 2019)
2007-09-17,Respect for the Aged Day (2003 onwards)
2007-09-24,JPX Holiday
2007-09-24,XTKS Holiday
2007-10-08,Health and Sports Day (2000 - 2019)
2007-11-23,Labor Thanksgiving Day
2007-12-24,Emperor Akihito's Birthday
2007-12-31,New Year's Holiday (Dec 31)
2008-01-01,New Year's Day
2008-01-02,New Year's Holiday (Jan 2)
2008-01-03,New Year's Holiday (Jan 3)
2008-01-14,Coming of Age Day (2000 onwards)
2008-02-11,National Foundation Day
2008-03-20,JPX Holiday
2008-03-20,XTKS Holiday
2008-04-29,Showa Day
2008-05-05,Children's Day
2008-05-06,Greenery Day
2008-07-21,Marine Day (2003 - 2019)
2008-09-15,Respect for the Aged Day (2003 onwards)
2008-09-23,JPX Holiday
2008-09-23,XTKS Holiday
2008-10-13,Health and Sports Day (2000 - 2019)
2008-11-03,Culture Day
2008-11-24,Labor Thanksgiving Day
2008-12-23,Emperor Akihito's Birthday
2008-12-31,New Year's Holiday (Dec 31)
2009-01-01,New Year's Day
2009-01-02,New Year's Holiday (Jan 2)
2009-01-12,Coming of Age Day (2000 onwards)
2009-02-11,National Foundation Day
2009-03-20,JPX Holiday
2009-03-20,XTKS Holiday
2009-04-29,Showa Day
2009-05-04,Greenery Day
2009-05-05,Children's Day
2009-05-06,Constitution Memorial Day
2009-07-20,Marine Day (2003 - 2019)
2009-09-21,Respect for the Aged Day (2003 onwards)
2009-09-22,JPX Holiday
2009-09-22,XTKS Holiday
2009-09-23,JPX Holiday
2009-09-23,XTKS Holiday
2009-10-12,Health and Sports Day (2000 - 2019)
2009-11-03,Culture Day
2009-11-23,Labor Thanksgiving Day
2009-12-23,Emperor Akihito's Birthday
2009-12-31,New Year's Holiday (Dec 31)
2010-01-01,New Year's Day
2010-01-11,Coming of Age Day (2000 onwards)
2010-02-11,National Foundation Day
2010-03-22,JPX Holiday
2010-03-22,XTKS Holiday
2010-04-29,Showa Day
2010-05-03,Constitution Memorial Day
2010-05-04,Greenery Day
2010-05-05,Children's Day
2010-07-19,Marine Day (2003 - 2019)
2010-09-20,Respect for the Aged Day (2003 onwards)
2010-09-23,JPX Holiday
2010-09-23,XTKS Holiday
2010-10-11,Health and Sports Day (2000 - 2019)
2010-11-03,Culture Day
2010-11-23,Labor Thanksgiving Day
2010-12-23,Emperor Akihito's Birthday
2010-12-31,New Year's Holiday (Dec 31)
2011-01-03,New Year's Holiday (Jan 3)
2011-01-10,Coming of Age Day (2000 onwards)
2011-02-11,National Foundation Day
2011-03-21,JPX Holiday
2011-03-21,XTKS Holiday
2011-04-29,Showa Day
2011-05-03,Constitution Memorial Day
2011-05-04,Greenery Day
2011-05-05,Children's Day
2011-07-18,Marine Day (2003 - 2019)
2011-09-19,Respect for the Aged Day (2003 onwards)
2011-09-23,JPX Holiday
2011-09-23,XTKS Holiday
2011-10-10,Health and Sports Day (2000 - 2019)
2011-11-03,Culture Day
2011-11-23,Labor Thanksgiving Day
2011-12-23,Emperor Akihito's Birthday
2012-01-02,New Year's Holiday (Jan 2)
2012-01-03,New Year's Holiday (Jan 3)
2012-01-09,Coming of Age Day (2000 onwards)
2012-03-20,JPX Holiday
2012-03-20,XTKS Holiday
2012-04-30,Showa Day
2012-05-03,Constitution Memorial Day
2012-05-04,Greenery Day
2012-07-16,Marine Day (2003 - 2019)
2012-09-17,Respect for the Aged Day (2003 onwards)
2012-10-08,Health and Sports Day (2000 - 2019)
2012-11-23,Labor Thanksgiving Day
2012-12-24,Emperor Akihito's Birthday
2012-12-31,New Year's Holiday (Dec 31)
2013-01-01,New Year's Day
2013-01-02,New Year's Holiday (Jan 2)
2013-01-03,New Year's Holiday (Jan 3)
2013-01-14,Coming of Age Day (2000 onwards)
2013-02-11,National Foundation Day
2013-03-20,JPX Holiday
2013-03-20,XTKS Holiday
2013-04-29,Showa Day
2013-05-03,Constitution Memorial Day
2013-05-06,Children's Day
2013-07-15,Marine Day (2003 - 2019)
2013-09-16,Respect for the Aged Day (2003 onwards)
2013-09-23,JPX Holiday
2013-09-23,XTKS Holiday
2013-10-14,Health and Sports Day (2000 - 2019)
2013-11-04,Culture Day
2013-12-23,Emperor Akihito's Birthday
2013-12-31,New Year's Holiday (Dec 31)
2014-01-01,New Year's Day
2014-01-02,New Year's Holiday (Jan 2)
2014-01-03,New Year's Holiday (Jan 3)
2014-01-13,Coming of Age Day (2000 onwards)
2014-02-11,National Foundation Day
2014-03-21,JPX Holiday
2014-03-21,XTKS Holiday
2014-04-29,Showa Day
2014-05-05,Children's Day
2014-05-06,Greenery Day
2014-07-21,Marine Day (2003 - 2019)
2014-09-15,Respect for the Aged Day (2003 onwards)
2014-09-23,JPX Holiday
2014-09-23,XTKS Holiday
2014-10-13,Health and Sports Day (2000 - 2019)
2014-11-03,Culture Day
2014-11-24,Labor Thanksgiving Day
2014-12-23,Emperor Akihito's Birthday
2014-12-31,New Year's Holiday (Dec 31)
2015-01-01,New Year's Day
2015-01-02,New Year's Holiday (Jan 2)
2015-01-12,Coming of Age Day (2000 onwards)
2015-02-11,National Foundation Day
2015-04-29,Showa Day
2015-05-04,Greenery Day
2015-05-05,Children's Day
2015-05-06,Constitution Memorial Day
2015-07-20,Marine Day (2003 - 2019)
2015-09-21,Respect for the Aged Day (2003 onwards)
2015-09-22,JPX Holiday
2015-09-22,XTKS Holiday
2015-09-23,JPX Holiday
