date,name
1985-01-01,New Year's Day
1985-04-05,Good Friday
1985-04-08,Easter Monday
1985-05-06,Early May Bank Holiday
1985-05-27,Spring Bank Holiday
1985-08-26,Summer Bank Holiday
1985-12-25,Christmas
1985-12-26,Boxing Day
1986-01-01,New Year's Day
1986-03-28,Good Friday
1986-03-31,Easter Monday
1986-05-05,Early May Bank Holiday
1986-05-26,Spring Bank Holiday
1986-08-25,Summer Bank Holiday
1986-12-25,Christmas
1986-12-26,Boxing Day
1987-01-01,New Year's Day
1987-04-17,Good Friday
1987-04-20,Easter Monday
1987-05-04,Early May Bank Holiday
1987-05-25,Spring Bank Holiday
1987-08-31,Summer Bank Holiday
1987-12-25,Christmas
1987-12-28,Weekend Boxing Day
1988-01-01,New Year's Day
1988-04-01,Good Friday
1988-04-04,Easter Monday
1988-05-02,Early May Bank Holiday
1988-05-30,Spring Bank Holiday
1988-08-29,Summer Bank Holiday
1988-12-26,Boxing Day
1988-12-27,Weekend Christmas
1989-01-02,New Year's Day
1989-03-24,Good Friday
1989-03-27,Easter Monday
1989-05-01,Early May Bank Holiday
1989-05-29,Spring Bank Holiday
1989-08-28,Summer Bank Holiday
1989-12-25,Christmas
1989-12-26,Boxing Day
1990-01-01,New Year's Day
1990-04-13,Good Friday
1990-04-16,Easter Monday
1990-05-07,Early May Bank Holiday
1990-05-28,Spring Bank Holiday
1990-08-27,Summer Bank Holiday
1990-12-25,Christmas
1990-12-26,Boxing Day
1991-01-01,New Year's Day
1991-03-29,Good Friday
1991-04-01,Easter Monday
1991-05-06,Early May Bank Holiday
1991-05-27,Spring Bank Holiday
1991-08-26,Summer Bank Holiday
1991-12-25,Christmas
1991-12-26,Boxing Day
1992-01-01,New Year's Day
1992-04-17,Good Friday
1992-04-20,Easter Monday
1992-05-04,Early May Bank Holiday
1992-05-25,Spring Bank Holiday
1992-08-31,Summer Bank Holiday
1992-12-25,Christmas
1992-12-28,Weekend Boxing Day
1993-01-01,New Year's Day
1993-04-09,Good Friday
1993-04-12,Easter Monday
1993-05-03,Early May Bank Holiday
1993-05-31,Spring Bank Holiday
1993-08-30,Summer Bank Holiday
1993-12-27,Weekend Christmas
1993-12-28,Weekend Boxing Day
1994-01-03,New Year's Day
1994-04-01,Good Friday
1994-04-04,Easter Monday
1994-05-02,Early May Bank Holiday
1994-05-30,Spring Bank Holiday
