date,name
1985-01-01,New Year's Day
1985-02-18,President's Day
1985-04-05,Good Friday
1985-05-27,Memorial Day
1985-07-04,July 4th
1985-09-02,Labor Day
1985-09-27,NYSE Holiday
1985-11-28,Thanksgiving
1985-12-25,Christmas
1986-01-01,New Year's Day
1986-02-17,President's Day
1986-03-28,Good Friday
1986-05-26,Memorial Day
1986-07-04,July 4th
1986-09-01,Labor Day
1986-11-27,Thanksgiving
1986-12-25,Christmas
1987-01-01,New Year's Day
1987-02-16,President's Day
1987-04-17,Good Friday
1987-05-25,Memorial Day
1987-07-03,July 4th
1987-09-07,Labor Day
1987-11-26,Thanksgiving
1987-12-25,Christmas
1988-01-01,New Year's Day
1988-02-15,President's Day
1988-04-01,Good Friday
1988-05-30,Memorial Day
1988-07-04,July 4th
1988-09-05,Labor Day
1988-11-24,Thanksgiving
1988-12-26,Christmas
1989-01-02,New Year's Day
1989-02-20,President's Day
1989-03-24,Good Friday
1989-05-29,Memorial Day
1989-07-04,July 4th
1989-09-04,Labor Day
1989-11-23,Thanksgiving
1989-12-25,Christmas
1990-01-01,New Year's Day
1990-02-19,President's Day
1990-04-13,Good Friday
1990-05-28,Memorial Day
1990-07-04,July 4th
1990-09-03,Labor Day
1990-11-22,Thanksgiving
1990-12-25,Christmas
1991-01-01,New Year's Day
1991-02-18,President's Day
1991-03-29,Good Friday
1991-05-27,Memorial Day
1991-07-04,July 4th
1991-09-02,Labor Day
1991-11-28,Thanksgiving
1991-12-25,Christmas
1992-01-01,New Year's Day
1992-02-17,President's Day
1992-04-17,Good Friday
1992-05-25,Memorial Day
1992-07-03,July 4th
1992-09-07,Labor Day
1992-11-26,Thanksgiving
1992-12-25,Christmas
1993-01-01,New Year's Day
1993-02-15,President's Day
1993-04-09,Good Friday
1993-05-31,Memorial Day
1993-07-05,July 4th
1993-09-06,Labor Day
1993-11-25,Thanksgiving
1993-12-24,Christmas
1994-02-21,President's Day
1994-04-01,Good Friday
1994-04-27,NYSE Holiday
1994-05-30,Memorial Day
1994-07-04,July 4th
1994-09-05,Labor Day
1994-11-24,Thanksgiving
1994-12-26,Christmas
1995-01-02,New Year's Day
1995-02-20,President's Day
1995-04-14,Good Friday
1995-05-29,Memorial Day
1995-07-04,July 4th
1995-09-04,Labor Day
1995-11-23,Thanksgiving
1995-12-25,Christmas
1996-01-01,New Year's Day
1996-02-19,President's Day
