date,name,early_close_utc
1985-07-03,SIFMA Early Close,14:00 ET
1985-11-29,SIFMA Early Close,14:00 ET
1985-12-24,SIFMA Early Close,14:00 ET
1985-12-31,SIFMA Early Close,14:00 ET
1986-07-03,SIFMA Early Close,14:00 ET
1986-11-28,SIFMA Early Close,14:00 ET
1986-12-24,SIFMA Early Close,14:00 ET
1986-12-31,SIFMA Early Close,14:00 ET
1987-11-27,SIFMA Early Close,14:00 ET
1987-12-24,SIFMA Early Close,14:00 ET
1987-12-31,SIFMA Early Close,14:00 ET
1988-07-01,SIFMA Early Close,14:00 ET
1988-11-25,SIFMA Early Close,14:00 ET
1989-07-03,SIFMA Early Close,14:00 ET
1989-11-24,SIFMA Early Close,14:00 ET
1990-07-03,SIFMA Early Close,14:00 ET
1990-11-23,SIFMA Early Close,14:00 ET
1990-12-24,SIFMA Early Close,14:00 ET
1990-12-31,SIFMA Early Close,14:00 ET
1991-07-03,SIFMA Early Close,14:00 ET
1991-11-29,SIFMA Early Close,14:00 ET
1991-12-24,SIFMA Early Close,14:00 ET
1991-12-31,SIFMA Early Close,14:00 ET
1992-11-27,SIFMA Early Close,14:00 ET
1992-12-24,SIFMA Early Close,14:00 ET
1992-12-31,SIFMA Early Close,14:00 ET
1993-07-02,SIFMA Early Close,14:00 ET
1993-11-26,SIFMA Early Close,14:00 ET
1993-12-31,SIFMA Early Close,14:00 ET
1994-07-01,SIFMA Early Close,14:00 ET
1994-11-25,SIFMA Early Close,14:00 ET
1995-07-03,SIFMA Early Close,14:00 ET
1995-11-24,SIFMA Early Close,14:00 ET
1996-07-03,SIFMA Early Close,14:00 ET
1996-11-29,SIFMA Early Close,14:00 ET
1996-12-24,SIFMA Early Close,14:00 ET
1996-12-31,SIFMA Early Close,14:00 ET
1997-07-03,SIFMA Early Close,14:00 ET
1997-11-28,SIFMA Early Close,14:00 ET
1997-12-24,SIFMA Early Close,14:00 ET
1997-12-31,SIFMA Early Close,14:00 ET
1998-11-27,SIFMA Early Close,14:00 ET
1998-12-24,SIFMA Early Close,14:00 ET
1998-12-31,SIFMA Early Close,14:00 ET
1999-07-02,SIFMA Early Close,14:00 ET
1999-11-26,SIFMA Early Close,14:00 ET
1999-12-31,SIFMA Early Close,14:00 ET
2000-07-03,SIFMA Early Close,14:00 ET
2000-11-24,SIFMA Early Close,14:00 ET
2001-07-03,SIFMA Early Close,14:00 ET
2001-11-23,SIFMA Early Close,14:00 ET
2001-12-24,SIFMA Early Close,14:00 ET
2001-12-31,SIFMA Early Close,14:00 ET
2002-07-03,SIFMA Early Close,14:00 ET
2002-11-29,SIFMA Early Close,14:00 ET
2002-12-24,SIFMA Early Close,14:00 ET
2002-12-31,SIFMA Early Close,14:00 ET
2003-07-03,SIFMA Early Close,14:00 ET
2003-11-28,SIFMA Early Close,14:00 ET
2003-12-24,SIFMA Early Close,14:00 ET
2003-12-31,SIFMA Early Close,14:00 ET
2004-07-02,SIFMA Early Close,14:00 ET
2004-11-26,SIFMA Early Close,14:00 ET
2004-12-31,SIFMA Early Close,14:00 ET
2005-07-01,SIFMA Early Close,14:00 ET
2005-11-25,SIFMA Early Close,14:00 ET
2006-07-03,SIFMA Early Close,14:00 ET
2006-11-24,SIFMA Early Close,14:00 ET
2007-07-03,SIFMA Early Close,14:00 ET
2007-11-23,SIFMA Early Close,14:00 ET
2007-12-24,SIFMA Early Close,14:00 ET
2007-12-31,SIFMA Early Close,14:00 ET
