date,name
1985-01-01,New Year's Day
1985-01-02,Bank Holiday
1985-01-03,Bank Holiday
1985-01-15,Coming of Age Day
1985-02-11,National Foundation Day
1985-03-21,Vernal Equinox Day
1985-04-29,Emperor's Birthday
1985-05-03,Constitution Memorial Day
1985-05-05,Children's Day
1985-05-06,Children's Day (substitute)
1985-09-15,Respect for the Aged Day
1985-09-16,Respect for the Aged Day (substitute)
1985-09-23,Autumnal Equinox Day
1985-10-10,Health-Sports Day
1985-11-03,Culture Day
1985-11-04,Culture Day (substitute)
1985-11-23,Labor Thanksgiving Day
1985-12-31,Bank Holiday
1986-01-01,New Year's Day
1986-01-02,Bank Holiday
1986-01-03,Bank Holiday
1986-01-15,Coming of Age Day
1986-02-11,National Foundation Day
1986-03-21,Vernal Equinox Day
1986-04-29,Emperor's Birthday
1986-05-03,Constitution Memorial Day
1986-05-05,Children's Day
1986-09-15,Respect for the Aged Day
1986-09-23,Autumnal Equinox Day
1986-10-10,Health-Sports Day
1986-11-03,Culture Day
1986-11-23,Labor Thanksgiving Day
1986-11-24,Labor Thanksgiving Day (substitute)
1986-12-31,Bank Holiday
1987-01-01,New Year's Day
1987-01-02,Bank Holiday
1987-01-03,Bank Holiday
1987-01-15,Coming of Age Day
1987-02-11,National Foundation Day
1987-03-21,Vernal Equinox Day
1987-04-29,Emperor's Birthday
1987-05-03,Constitution Memorial Day
1987-05-04,Citizens' Holiday
1987-05-05,Children's Day
1987-05-06,Constitution Memorial Day (substitute)
1987-09-15,Respect for the Aged Day
1987-09-23,Autumnal Equinox Day
1987-10-10,Health-Sports Day
1987-11-03,Culture Day
1987-11-23,Labor Thanksgiving Day
1987-12-31,Bank Holiday
1988-01-01,New Year's Day
1988-01-02,Bank Holiday
1988-01-03,Bank Holiday
1988-01-15,Coming of Age Day
1988-02-11,National Foundation Day
1988-03-20,Vernal Equinox Day
1988-03-21,Vernal Equinox Day (substitute)
1988-04-29,Emperor's Birthday
1988-05-03,Constitution Memorial Day
1988-05-04,Citizens' Holiday
1988-05-05,Children's Day
1988-09-15,Respect for the Aged Day
1988-09-23,Autumnal Equinox Day
1988-10-10,Health-Sports Day
1988-11-03,Culture Day
1988-11-23,Labor Thanksgiving Day
1988-12-31,Bank Holiday
1989-01-01,New Year's Day
1989-01-02,New Year's Day (substitute)
1989-01-03,Bank Holiday
1989-01-15,Coming of Age Day
1989-01-16,Coming of Age Day (substitute)
1989-02-11,National Foundation Day
1989-02-24,Funeral of Emperor Showa
1989-03-21,Vernal Equinox Day
1989-04-29,Greenery Day
1989-05-03,Constitution Memorial Day
1989-05-04,Citizens' Holiday
1989-05-05,Children's Day
1989-09-15,Respect for the Aged Day
1989-09-23,Autumnal Equinox Day
1989-10-10,Health-Sports Day
1989-11-03,Culture Day
1989-11-23,Labor Thanksgiving Day
1989-12-23,Emperor's Birthday
1989-12-31,Bank Holiday
1990-01-01,New Year's Day
1990-01-02,Bank Holiday
1990-01-03,Bank Holiday
1990-01-15,Coming of Age Day
1990-02-11,National Foundation Day
1990-02-12,National Foundation Day (substitute)
1990-03-21,Vernal Equinox Day
1990-04-29,Greenery Day
1990-04-30,Greenery Day (substitute)
1990-05-03,Constitution Memorial Day
1990-05-04,Citizens' Holiday
1990-05-05,Children's Day
1990-09-15,Respect for the Aged Day
1990-09-23,Autumnal Equinox Day
1990-09-24,Autumnal Equinox Day (substitute)
1990-10-10,Health-Sports Day
1990-11-03,Culture Day
1990-11-12,Enthronement Ceremony
1990-11-23,Labor Thanksgiving Day
1990-12-23,Emperor's Birthday
1990-12-24,Emperor's Birthday (substitute)
1990-12-31,Bank Holiday
1991-01-01,New Year's Day
1991-01-02,Bank Holiday
1991-01-03,Bank Holiday
1991-01-15,Coming of Age Day
1991-02-11,National Foundation Day
1991-03-21,Vernal Equinox Day
1991-04-29,Greenery Day
1991-05-03,Constitution Memorial Day
1991-05-04,Citizens' Holiday
1991-05-05,Children's Day
1991-05-06,Children's Day (substitute)
1991-09-15,Respect for the Aged Day
1991-09-16,Respect for the Aged Day (substitute)
1991-09-23,Autumnal Equinox Day
1991-10-10,Health-Sports Day
1991-11-03,Culture Day
1991-11-04,Culture Day (substitute)
1991-11-23,Labor Thanksgiving Day
1991-12-23,Emperor's Birthday
1991-12-31,Bank Holiday
1992-01-01,New Year's Day
1992-01-02,Bank Holiday
1992-01-03,Bank Holiday
1992-01-15,Coming of Age Day
1992-02-11,National Foundation Day
1992-03-20,Vernal Equinox Day
1992-04-29,Greenery Day
1992-05-03,Constitution Memorial Day
1992-05-04,Citizens' Holiday
1992-05-05,Children's Day
1992-05-06,Constitution Memorial Day (substitute)
1992-09-15,Respect for the Aged Day
1992-09-23,Autumnal Equinox Day
1992-10-10,Health-Sports Day
1992-11-03,Culture Day
1992-11-23,Labor Thanksgiving Day
1992-12-23,Emperor's Birthday
1992-12-31,Bank Holiday
1993-01-01,New Year's Day
1993-01-02,Bank Holiday
1993-01-03,Bank Holiday
1993-01-15,Coming of Age Day
1993-02-11,National Foundation Day
1993-03-20,Vernal Equinox Day
1993-04-29,Greenery Day
1993-05-03,Constitution Memorial Day
1993-05-04,Citizens' Holiday
1993-05-05,Children's Day
1993-06-09,Crown Prince Wedding
1993-09-15,Respect for the Aged Day
1993-09-23,Autumnal Equinox Day
1993-10-10,Health-Sports Day
1993-10-11,Health-Sports Day (substitute)
1993-11-03,Culture Day
1993-11-23,Labor Thanksgiving Day
1993-12-23,Emperor's Birthday
1993-12-31,Bank Holiday
1994-01-01,New Year's Day
1994-01-02,Bank Holiday
1994-01-03,Bank Holiday
1994-01-15,Coming of Age Day
1994-02-11,National Foundation Day
1994-03-21,Vernal Equinox Day
1994-04-29,Greenery Day
1994-05-03,Constitution Memorial Day
1994-05-04,Citizens' Holiday
1994-05-05,Children's Day
1994-09-15,Respect for the Aged Day
1994-09-23,Autumnal Equinox Day
1994-10-10,Health-Sports Day
1994-11-03,Culture Day
1994-11-23,Labor Thanksgiving Day
1994-12-23,Emperor's Birthday
1994-12-31,Bank Holiday
1995-01-01,New Year's Day
1995-01-02,New Year's Day (substitute)
1995-01-03,Bank Holiday
1995-01-15,Coming of Age Day
1995-01-16,Coming of Age Day (substitute)
1995-02-11,National Foundation Day
1995-03-21,Vernal Equinox Day
1995-04-29,Greenery Day
1995-05-03,Constitution Memorial Day
1995-05-04,Citizens' Holiday
1995-05-05,Children's Day
1995-09-15,Respect for the Aged Day
1995-09-23,Autumnal Equinox Day
1995-10-10,Health-Sports Day
1995-11-03,Culture Day
1995-11-23,Labor Thanksgiving Day
1995-12-23,Emperor's Birthday
1995-12-31,Bank Holiday
1996-01-01,New Year's Day
1996-01-02,Bank Holiday
1996-01-03,Bank Holiday
1996-01-15,Coming of Age Day
1996-02-11,National Foundation Day
1996-02-12,National Foundation Day (substitute)
1996-03-20,Vernal Equinox Day
1996-04-29,Greenery Day
1996-05-03,Constitution Memorial Day
1996-05-04,Citizens' Holiday
1996-05-05,Children's Day
1996-05-06,Children's Day (substitute)
1996-07-20,Marine Day
1996-09-15,Respect for the Aged Day
1996-09-16,Respect for the Aged Day (substitute)
1996-09-23,Autumnal Equinox Day
1996-10-10,Health-Sports Day
1996-11-03,Culture Day
1996-11-04,Culture Day (substitute)
1996-11-23,Labor Thanksgiving Day
1996-12-23,Emperor's Birthday
1996-12-31,Bank Holiday
1997-01-01,New Year's Day
1997-01-02,Bank Holiday
1997-01-03,Bank Holiday
1997-01-15,Coming of Age Day
1997-02-11,National Foundation Day
1997-03-20,Vernal Equinox Day
1997-04-29,Greenery Day
1997-05-03,Constitution Memorial Day
1997-05-05,Children's Day
1997-07-20,Marine Day
1997-07-21,Marine Day (substitute)
1997-09-15,Respect for the Aged Day
1997-09-23,Autumnal Equinox Day
1997-10-10,Health-Sports Day
1997-11-03,Culture Day
1997-11-23,Labor Thanksgiving Day
1997-11-24,Labor Thanksgiving Day (substitute)
1997-12-23,Emperor's Birthday
1997-12-31,Bank Holiday
