date,name
1985-01-03,Fast of 10 Tevet
1985-02-06,Tu BiShvat
1985-03-06,Fast of Esther
1985-03-07,Purim
1985-03-08,Shushan Purim
1985-04-06,Pesach I
1985-04-07,Pesach II
1985-04-08,Chol HaMoed Pesach
1985-04-09,Chol HaMoed Pesach
1985-04-10,Chol HaMoed Pesach
1985-04-11,Chol HaMoed Pesach
1985-04-12,Pesach VII
1985-04-13,Pesach VIII
1985-04-18,Yom HaShoah
1985-04-24,Yom HaZikaron
1985-04-25,Yom HaAtzmaut
1985-05-09,Lag B'Omer
1985-05-19,Yom Yerushalayim
1985-05-26,Shavuot I
1985-05-27,Shavuot II
1985-07-07,Fast of 17 Tammuz
1985-07-28,Tisha B'Av
1985-08-02,Tu B'Av
1985-09-16,Rosh Hashanah I
1985-09-17,Rosh Hashanah II
1985-09-18,Fast of Gedaliah
1985-09-25,Yom Kippur
1985-09-30,Sukkot I
1985-10-01,Sukkot II
1985-10-02,Chol HaMoed Sukkot
1985-10-03,Chol HaMoed Sukkot
1985-10-04,Chol HaMoed Sukkot
1985-10-05,Chol HaMoed Sukkot
1985-10-06,Hoshana Rabbah
1985-10-07,Shemini Atzeret
1985-10-08,Simchat Torah
1985-12-08,Chanukah Day 1
1985-12-09,Chanukah Day 2
1985-12-10,Chanukah Day 3
1985-12-11,Chanukah Day 4
1985-12-12,Chanukah Day 5
1985-12-13,Chanukah Day 6
1985-12-14,Chanukah Day 7
1985-12-15,Chanukah Day 8
1985-12-22,Fast of 10 Tevet
1986-01-25,Tu BiShvat
1986-02-23,Purim Katan
1986-02-24,Shushan Purim Katan
1986-03-24,Fast of Esther
1986-03-25,Purim
1986-03-26,Shushan Purim
1986-04-24,Pesach I
1986-04-25,Pesach II
1986-04-26,Chol HaMoed Pesach
1986-04-27,Chol HaMoed Pesach
1986-04-28,Chol HaMoed Pesach
1986-04-29,Chol HaMoed Pesach
1986-04-30,Pesach VII
1986-05-01,Pesach VIII
1986-05-06,Yom HaShoah
