date,product,expiry,tenor,leg,value
2016-01-01 00:00:00,swap_par,,10Y,,1.88738
2016-01-01 00:00:00,swap_par,,12Y,,2.00362
2016-01-01 00:00:00,swap_par,,15Y,,2.12027
2016-01-01 00:00:00,swap_par,,20Y,,2.23643
2016-01-01 00:00:00,swap_par,,25Y,,2.29339
2016-01-01 00:00:00,swap_par,,2Y,,0.906534
2016-01-01 00:00:00,swap_par,,30Y,,2.32574
2016-01-01 00:00:00,swap_par,,3Y,,1.13018
2016-01-01 00:00:00,swap_par,,40Y,,2.35196
2016-01-01 00:00:00,swap_par,,4Y,,1.29391
2016-01-01 00:00:00,swap_par,,5Y,,1.42988
2016-01-01 00:00:00,swap_par,,6Y,,1.54803
2016-01-01 00:00:00,swap_par,,7Y,,1.65235
2016-01-01 00:00:00,swap_par,,8Y,,1.7405
2016-01-01 00:00:00,swap_par,,9Y,,1.81863
2016-09-29 00:00:00,swap_par,,10Y,,1.01417
2016-09-29 00:00:00,swap_par,,12Y,,1.08976
2016-09-29 00:00:00,swap_par,,15Y,,1.17428
2016-09-29 00:00:00,swap_par,,20Y,,1.26141
2016-09-29 00:00:00,swap_par,,25Y,,1.29918
2016-09-29 00:00:00,swap_par,,2Y,,0.612588
2016-09-29 00:00:00,swap_par,,30Y,,1.31938
2016-09-29 00:00:00,swap_par,,3Y,,0.663378
2016-09-29 00:00:00,swap_par,,40Y,,1.33294
2016-09-29 00:00:00,swap_par,,4Y,,0.711587
2016-09-29 00:00:00,swap_par,,5Y,,0.760423
2016-09-29 00:00:00,swap_par,,6Y,,0.817865
2016-09-29 00:00:00,swap_par,,7Y,,0.874869
2016-09-29 00:00:00,swap_par,,8Y,,0.926994
2016-09-29 00:00:00,swap_par,,9Y,,0.973157
2017-06-28 00:00:00,swap_par,,10Y,,1.91472
2017-06-28 00:00:00,swap_par,,12Y,,1.98675
2017-06-28 00:00:00,swap_par,,15Y,,2.05687
2017-06-28 00:00:00,swap_par,,20Y,,2.12059
2017-06-28 00:00:00,swap_par,,25Y,,2.13978
2017-06-28 00:00:00,swap_par,,2Y,,1.3799
2017-06-28 00:00:00,swap_par,,30Y,,2.14613
2017-06-28 00:00:00,swap_par,,3Y,,1.47751
2017-06-28 00:00:00,swap_par,,40Y,,2.13258
2017-06-28 00:00:00,swap_par,,4Y,,1.56233
2017-06-28 00:00:00,swap_par,,5Y,,1.63928
2017-06-28 00:00:00,swap_par,,6Y,,1.70616
2017-06-28 00:00:00,swap_par,,7Y,,1.76858
2017-06-28 00:00:00,swap_par,,8Y,,1.82487
2017-06-28 00:00:00,swap_par,,9Y,,1.87437
2018-03-29 00:00:00,swap_par,,10Y,,2.38656
2018-03-29 00:00:00,swap_par,,12Y,,2.40425
2018-03-29 00:00:00,swap_par,,15Y,,2.41675
2018-03-29 00:00:00,swap_par,,20Y,,2.41823
2018-03-29 00:00:00,swap_par,,25Y,,2.39989
2018-03-29 00:00:00,swap_par,,2Y,,2.18511
2018-03-29 00:00:00,swap_par,,30Y,,2.37559
2018-03-29 00:00:00,swap_par,,3Y,,2.2813
2018-03-29 00:00:00,swap_par,,40Y,,2.33094
2018-03-29 00:00:00,swap_par,,4Y,,2.32017
2018-03-29 00:00:00,swap_par,,5Y,,2.33716
2018-03-29 00:00:00,swap_par,,6Y,,2.34686
2018-03-29 00:00:00,swap_par,,7Y,,2.35692
2018-03-29 00:00:00,swap_par,,8Y,,2.36663
2018-03-29 00:00:00,swap_par,,9Y,,2.37767
2019-01-04 00:00:00,swap_par,,10Y,,2.36022
2019-01-04 00:00:00,swap_par,,12Y,,2.39549
