[citi] proxy: none (direct). If Excel needs a proxy, set HTTPS_PROXY or pass --proxy host:port.
============================================================
[citi] UID  : http://localhost:8198/    (serves UnifiedPricer.html)
[citi] feed : http://localhost:8198/curve
[citi] >>> OPEN THIS IN A BROWSER:  http://localhost:8198/
============================================================
[citi] socket OPEN; waiting for CONN_READY...
[citi] CONN_READY -> sent 332 SUB requests (USD+JPY par + 1y-fwd).
[citi] FIRST DATA received (43 pairs, 43 matched, ts 2026-07-16T15:44).
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=4
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=4
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=10
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=10
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=19
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=19
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=24
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=24
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=31
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=31
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=36
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=36
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=42
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=42
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=48
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=48
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=53
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=53
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=58
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=58
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=64
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=64
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=69
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=69
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=76
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=76
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=79
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=79
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=86
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=86
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=91
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=91
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=97
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=97
[citi] status: connected=True conn_ready=True subscribed=332/332 ticks=103
